Sequence, Transport, Timestamp, Latency, Latitude, Longitude, Signal_dbm, Signal_level, MCC, MNC, CellId, Tac/Lac, Mobile_Network, RSRQ, RSSNR, NRARFCN
1,4, 2024.09.12_14.46.16,262,-22.8613933,-43.2280519,-106,1,724,5,53821471,44521,10,-16,-2,
2,4, 2024.09.12_14.46.16,209,-22.8613933,-43.2280519,-106,1,724,5,53821471,44521,10,-16,-2,
3,4, 2024.09.12_14.46.17,175,-22.8613933,-43.2280519,-109,1,724,5,53821442,44521,10,-13,-4,
4,4, 2024.09.12_14.46.19,283,-22.8613933,-43.2280519,-109,1,724,5,53821442,44521,10,-13,-4,
5,4, 2024.09.12_14.46.19,132,-22.8613933,-43.2280519,-110,1,724,5,53821442,44521,10,-15,-4,
6,4, 2024.09.12_14.46.21,202,-22.861267,-43.2278781,-110,1,724,5,53821442,44521,10,-15,-4,
7,4, 2024.09.12_14.46.22,243,-22.861267,-43.2278781,-110,1,724,5,53821442,44521,10,-15,-4,
8,4, 2024.09.12_14.46.23,237,-22.861267,-43.2278781,-110,1,724,5,53821442,44521,10,-15,-4,
9,4, 2024.09.12_14.46.24,180,-22.861267,-43.2278781,-110,1,724,5,53821442,44521,10,-15,-4,
10,4, 2024.09.12_14.46.25,286,-22.861267,-43.2278781,-110,1,724,5,53821442,44521,10,-14,0,
11,4, 2024.09.12_14.46.26,171,-22.8612536,-43.2278604,-110,1,724,5,53821442,44521,10,-14,0,
12,4, 2024.09.12_14.46.27,187,-22.8612376,-43.2278482,-110,1,724,5,53821442,44521,10,-14,0,
13,4, 2024.09.12_14.46.28,140,-22.8612376,-43.2278482,-110,1,724,5,53821442,44521,10,-14,0,
14,4, 2024.09.12_14.46.29,140,-22.8612376,-43.2278482,-110,1,724,5,53821442,44521,10,-14,0,
15,4, 2024.09.12_14.46.30,214,-22.8612376,-43.2278482,-113,1,724,5,53821442,44521,10,-15,2,
16,4, 2024.09.12_14.46.31,384,-22.8612304,-43.2278085,-113,1,724,5,53821442,44521,10,-15,2,
17,4, 2024.09.12_14.46.32,318,-22.8612527,-43.2277768,-113,1,724,5,53821442,44521,10,-15,2,
18,4, 2024.09.12_14.46.33,262,-22.8612527,-43.2277768,-113,1,724,5,53821442,44521,10,-15,2,
19,4, 2024.09.12_14.46.34,234,-22.8612527,-43.2277768,-113,1,724,5,53821442,44521,10,-15,2,
20,4, 2024.09.12_14.46.35,374,-22.8612527,-43.2277768,-115,1,724,5,53821442,44521,10,-20,-2,
21,4, 2024.09.12_14.46.36,240,-22.8614352,-43.2276278,-115,1,724,5,53821442,44521,10,-20,-2,
22,4, 2024.09.12_14.46.37,484,-22.8614352,-43.2276278,-115,1,724,5,53821442,44521,10,-20,-2,
23,4, 2024.09.12_14.46.38,238,-22.8614352,-43.2276278,-115,1,724,5,53821442,44521,10,-20,-2,
24,4, 2024.09.12_14.46.39,541,-22.8614352,-43.2276278,-115,1,724,5,53821442,44521,6,-20,-2,
25,4, 2024.09.12_14.46.40,974,-22.8614352,-43.2276278,-115,1,724,5,53821442,44521,6,-20,-2,
