Sequence, Timestamp, Latitude, Longitude, Signal_dbm, Signal_level, MCC, MNC, CellId, Tac/Lac, Mobile_Network, RSRQ, RSSNR, NRARFCN
1,2024.09.05_14.38.58,-22.8614669,-43.228496,-105,2,724,5,53821471,44521,10,-14,2147483647,
2,2024.09.05_14.38.59,-22.8614669,-43.228496,-105,2,724,5,53821471,44521,10,-14,2147483647,
3,2024.09.05_14.39.00,-22.8614669,-43.228496,-105,2,724,5,53821471,44521,10,-14,2147483647,
4,2024.09.05_14.39.01,-22.8614669,-43.228496,-105,2,724,5,53821471,44521,10,-14,2147483647,
5,2024.09.05_14.39.02,-22.8614669,-43.228496,-105,2,724,5,53821471,44521,10,-14,2147483647,
6,2024.09.05_14.39.03,-22.8614669,-43.228496,-105,2,724,5,53821471,44521,10,-14,2147483647,
7,2024.09.05_14.39.05,-22.8614669,-43.228496,-105,2,724,5,53821471,44521,10,-14,2147483647,
8,2024.09.05_14.39.05,-22.8614669,-43.228496,-105,2,724,5,53821471,44521,10,-14,2147483647,
9,2024.09.05_14.39.06,-22.8614669,-43.228496,-105,2,724,5,53821471,44521,10,-14,2147483647,
10,2024.09.05_14.39.07,-22.8614669,-43.228496,-105,2,724,5,53821471,44521,10,-14,2147483647,
11,2024.09.05_14.39.08,-22.8614669,-43.228496,-105,2,724,5,53821471,44521,10,-14,2147483647,
12,2024.09.05_14.39.14,-22.8614669,-43.228496,-105,2,724,5,53821471,44521,10,-14,2147483647,
13,2024.09.05_14.39.14,-22.8614669,-43.228496,-105,2,724,5,53821471,44521,10,-14,2147483647,
14,2024.09.05_14.39.14,-22.8614669,-43.228496,-105,2,724,5,53821471,44521,10,-14,2147483647,
15,2024.09.05_14.39.15,-22.8614669,-43.228496,-105,2,724,5,53821471,44521,10,-14,2147483647,
16,2024.09.05_14.39.15,-22.8614669,-43.228496,-105,2,724,5,53821471,44521,10,-14,2147483647,
17,2024.09.05_14.39.15,-22.8614669,-43.228496,-105,2,724,5,53821471,44521,10,-14,2147483647,
18,2024.09.05_14.39.16,-22.8614669,-43.228496,-105,2,724,5,53821471,44521,10,-14,2147483647,
19,2024.09.05_14.39.17,-22.8614669,-43.228496,-105,2,724,5,53821471,44521,10,-14,2147483647,
20,2024.09.05_14.39.18,-22.8614669,-43.228496,-105,2,724,5,53821471,44521,10,-14,2147483647,
21,2024.09.05_14.39.20,-22.8614669,-43.228496,-111,1,724,5,53821442,44521,10,-17,2,
22,2024.09.05_14.39.21,-22.8614669,-43.228496,-111,1,724,5,53821442,44521,10,-17,2,
23,2024.09.05_14.39.21,-22.8614669,-43.228496,-111,1,724,5,53821442,44521,10,-17,2,
24,2024.09.05_14.39.22,-22.8614669,-43.228496,-111,1,724,5,53821442,44521,10,-17,2,
25,2024.09.05_14.39.23,-22.8614669,-43.228496,-111,1,724,5,53821442,44521,10,-17,2,
26,2024.09.05_14.39.24,-22.8614669,-43.228496,-111,1,724,5,53821442,44521,10,-17,2,
27,2024.09.05_14.39.25,-22.8614669,-43.228496,-111,1,724,5,53821442,44521,10,-17,2,
28,2024.09.05_14.39.26,-22.8614669,-43.228496,-111,1,724,5,53821442,44521,10,-17,2,
29,2024.09.05_14.39.27,-22.8614669,-43.228496,-111,1,724,5,53821442,44521,10,-17,2,
30,2024.09.05_14.39.28,-22.8614669,-43.228496,-111,1,724,5,53821442,44521,10,-17,2,
31,2024.09.05_14.39.30,-22.8614669,-43.228496,-106,1,724,5,53821442,44521,10,-16,0,
32,2024.09.05_14.39.31,-22.8614669,-43.228496,-106,1,724,5,53821442,44521,10,-16,0,
33,2024.09.05_14.39.31,-22.8614669,-43.228496,-106,1,724,5,53821442,44521,10,-16,0,
34,2024.09.05_14.39.32,-22.8614669,-43.228496,-106,1,724,5,53821442,44521,10,-16,0,
35,2024.09.05_14.39.33,-22.8614669,-43.228496,-106,1,724,5,53821442,44521,10,-16,0,
