Sequence, Transport, Timestamp, Latency, Latitude, Longitude, Signal_dbm, Signal_level, MCC, MNC, CellId, Tac/Lac, Mobile_Network, RSRQ, RSSNR, NRARFCN
1,4, 2024.09.09_15.23.59,225,-22.8614671,-43.2281381,-111,1,724,5,53821443,44521,10,-18,-5,
2,4, 2024.09.09_15.24.00,209,-22.8614734,-43.2281412,-109,1,724,5,53821442,44521,10,-14,-5,
3,4, 2024.09.09_15.24.01,189,-22.8614734,-43.2281412,-109,1,724,5,53821442,44521,10,-14,-5,
4,4, 2024.09.09_15.24.02,233,-22.8613752,-43.2280494,-109,1,724,5,53821442,44521,10,-14,-5,
5,4, 2024.09.09_15.24.03,158,-22.8613752,-43.2280494,-109,1,724,5,53821442,44521,10,-14,-5,
6,4, 2024.09.09_15.24.04,143,-22.8613752,-43.2280494,-107,1,724,5,53821442,44521,10,-15,-4,
7,4, 2024.09.09_15.24.05,163,-22.8613478,-43.2280291,-107,1,724,5,53821442,44521,10,-15,-4,
8,4, 2024.09.09_15.24.06,174,-22.8613478,-43.2280291,-107,1,724,5,53821442,44521,10,-15,-4,
9,4, 2024.09.09_15.24.07,133,-22.8613044,-43.227954,-107,1,724,5,53821442,44521,10,-15,-4,
10,4, 2024.09.09_15.24.08,180,-22.8613044,-43.227954,-107,1,724,5,53821442,44521,10,-15,-4,
11,4, 2024.09.09_15.24.09,138,-22.8613044,-43.227954,-108,1,724,5,53821442,44521,10,-14,0,
12,4, 2024.09.09_15.24.10,138,-22.8612976,-43.2279096,-108,1,724,5,53821442,44521,10,-14,0,
13,4, 2024.09.09_15.24.11,206,-22.8612984,-43.2278712,-108,1,724,5,53821442,44521,10,-14,0,
14,4, 2024.09.09_15.24.12,299,-22.8612984,-43.2278712,-108,1,724,5,53821442,44521,10,-14,0,
15,4, 2024.09.09_15.24.13,162,-22.8612984,-43.2278712,-108,1,724,5,53821442,44521,10,-14,0,
16,4, 2024.09.09_15.24.14,190,-22.8612984,-43.2278712,-110,1,724,5,53821442,44521,10,-14,1,
