Sequence,Transport,Timestamp,Latency,Latitude,Longitude,Signal_dbm,Signal_level,MCC,MNC,CellId,Tac/Lac,Mobile_Network,RSRQ,RSSNR,NRARFCN
1,1,2024.01.26_12.23.24,272,-22.8616564,-43.228416,-104,2,724,5,53821442,44521,6,-10,3,
2,1,2024.01.26_12.23.25,222,-22.8616564,-43.228416,-104,2,724,5,53821442,44521,6,-10,3,
3,1,2024.01.26_12.23.26,174,-22.8616564,-43.228416,-104,2,724,5,53821442,44521,6,-10,3,
4,1,2024.01.26_12.23.27,233,-22.8616494,-43.2283974,-104,2,724,5,53821442,44521,6,-10,3,
5,1,2024.01.26_12.23.28,176,-22.8616494,-43.2283974,-107,1,724,5,53821442,44521,6,-11,5,
6,1,2024.01.26_12.23.29,201,-22.8616413,-43.2283912,-107,1,724,5,53821442,44521,6,-11,5,
7,1,2024.01.26_12.23.30,164,-22.8616379,-43.2283976,-107,1,724,5,53821442,44521,6,-11,5,
8,1,2024.01.26_12.23.31,271,-22.8616309,-43.2283979,-107,1,724,5,53821442,44521,6,-11,5,
9,1,2024.01.26_12.23.32,159,-22.8616283,-43.2283979,-107,1,724,5,53821442,44521,6,-11,5,
10,1,2024.01.26_12.23.34,427,-22.8616215,-43.228401,-101,2,724,5,53821442,44521,6,-11,3,
11,1,2024.01.26_12.23.34,476,-22.8616215,-43.228401,-101,2,724,5,53821442,44521,6,-11,3,
12,1,2024.01.26_12.23.34,244,-22.8616195,-43.2284011,-101,2,724,5,53821442,44521,6,-11,3,
13,1,2024.01.26_12.23.35,229,-22.8616266,-43.228416,-101,2,724,5,53821442,44521,6,-11,3,
14,1,2024.01.26_12.23.36,140,-22.8616255,-43.2284142,-101,2,724,5,53821442,44521,6,-11,3,
15,1,2024.01.26_12.23.38,274,-22.8616255,-43.2284142,-101,2,724,5,53821442,44521,6,-11,3,
16,1,2024.01.26_12.23.38,128,-22.8616255,-43.2284142,-101,2,724,5,53821442,44521,6,-13,2,
17,1,2024.01.26_12.23.39,148,-22.8616217,-43.2284145,-101,2,724,5,53821442,44521,6,-13,2,
18,1,2024.01.26_12.23.40,137,-22.861625,-43.2283947,-101,2,724,5,53821442,44521,6,-13,2,
19,1,2024.01.26_12.23.41,152,-22.8616245,-43.2283879,-101,2,724,5,53821442,44521,6,-13,2,
20,1,2024.01.26_12.23.42,135,-22.8616235,-43.2283807,-101,2,724,5,53821442,44521,6,-13,2,
21,1,2024.01.26_12.23.44,194,-22.8616225,-43.228377,-98,2,724,5,53821442,44521,6,-11,3,
22,1,2024.01.26_12.23.44,145,-22.8616211,-43.2283746,-98,2,724,5,53821442,44521,6,-11,3,
23,1,2024.01.26_12.23.46,175,-22.861614,-43.228373,-98,2,724,5,53821442,44521,6,-11,3,
24,1,2024.01.26_12.23.46,135,-22.8616068,-43.2283664,-98,2,724,5,53821442,44521,6,-11,3,
25,1,2024.01.26_12.23.47,127,-22.8616004,-43.2283588,-98,2,724,5,53821442,44521,6,-11,3,
26,1,2024.01.26_12.23.49,223,-22.861594,-43.2283504,-99,2,724,5,53821442,44521,6,-12,4,
27,1,2024.01.26_12.23.50,161,-22.8615917,-43.2283475,-99,2,724,5,53821442,44521,6,-12,4,
28,1,2024.01.26_12.23.51,292,-22.8615846,-43.2283356,-99,2,724,5,53821442,44521,6,-12,4,
29,1,2024.01.26_12.23.52,240,-22.8615773,-43.2283226,-99,2,724,5,53821442,44521,6,-12,4,
30,1,2024.01.26_12.23.53,164,-22.8615705,-43.2283132,-99,2,724,5,53821442,44521,6,-12,4,
31,1,2024.01.26_12.23.54,259,-22.8615638,-43.228303,-98,2,724,5,53821442,44521,6,-11,5,
32,1,2024.01.26_12.23.55,218,-22.8615565,-43.228288,-98,2,724,5,53821442,44521,6,-11,5,
33,1,2024.01.26_12.23.56,145,-22.8615532,-43.2282808,-98,2,724,5,53821442,44521,6,-11,5,
34,1,2024.01.26_12.23.57,296,-22.8615435,-43.2282677,-98,2,724,5,53821442,44521,6,-11,5,
35,1,2024.01.26_12.23.58,232,-22.8615358,-43.2282577,-98,2,724,5,53821442,44521,6,-11,5,
36,1,2024.01.26_12.23.59,129,-22.8615318,-43.228253,-98,2,724,5,53821442,44521,6,-11,5,
37,1,2024.01.26_12.24.00,150,-22.8615254,-43.2282499,-98,2,724,5,53821442,44521,6,-11,5,
38,1,2024.01.26_12.24.01,142,-22.8615167,-43.2282463,-98,2,724,5,53821442,44521,6,-11,5,
39,1,2024.01.26_12.24.02,142,-22.8615167,-43.2282463,-98,2,724,5,53821442,44521,6,-11,5,
40,1,2024.01.26_12.24.03,176,-22.8615167,-43.2282463,-98,2,724,5,53821442,44521,6,-11,5,
41,1,2024.01.26_12.24.04,145,-22.8615088,-43.228255,-100,2,724,5,53821442,44521,6,-13,6,
42,1,2024.01.26_12.24.05,140,-22.8615105,-43.2282591,-100,2,724,5,53821442,44521,6,-13,6,
43,1,2024.01.26_12.24.06,176,-22.8615132,-43.2282637,-100,2,724,5,53821442,44521,6,-13,6,
44,1,2024.01.26_12.24.07,143,-22.8615132,-43.2282637,-100,2,724,5,53821442,44521,6,-13,6,
45,1,2024.01.26_12.24.08,145,-22.8615132,-43.2282637,-100,2,724,5,53821442,44521,6,-13,6,
46,1,2024.01.26_12.24.09,205,-22.8615132,-43.2282637,-98,2,724,5,53821442,44521,6,-11,6,
47,1,2024.01.26_12.24.10,143,-22.861509,-43.2282768,-98,2,724,5,53821442,44521,6,-11,6,
48,1,2024.01.26_12.24.11,259,-22.8615081,-43.2282821,-98,2,724,5,53821442,44521,6,-11,6,
49,1,2024.01.26_12.24.12,214,-22.8615081,-43.2282821,-98,2,724,5,53821442,44521,6,-11,6,
50,1,2024.01.26_12.24.13,157,-22.8615081,-43.2282821,-98,2,724,5,53821442,44521,6,-11,6,
51,1,2024.01.26_12.24.14,264,-22.8615081,-43.2282821,-99,2,724,5,53821442,44521,6,-12,7,
52,1,2024.01.26_12.24.15,220,-22.8615022,-43.2282863,-99,2,724,5,53821442,44521,6,-12,7,
53,1,2024.01.26_12.24.16,186,-22.8615028,-43.2282897,-99,2,724,5,53821442,44521,6,-12,7,
54,1,2024.01.26_12.24.17,313,-22.8615028,-43.2282897,-99,2,724,5,53821442,44521,6,-12,7,
55,1,2024.01.26_12.24.18,239,-22.8615028,-43.2282897,-99,2,724,5,53821442,44521,6,-12,7,
56,1,2024.01.26_12.24.19,178,-22.8615028,-43.2282897,-98,2,724,5,53821442,44521,6,-11,6,
57,1,2024.01.26_12.24.20,343,-22.8614948,-43.228298,-98,2,724,5,53821442,44521,6,-11,6,
58,1,2024.01.26_12.24.21,149,-22.8614871,-43.2282832,-98,2,724,5,53821442,44521,6,-11,6,
59,1,2024.01.26_12.24.22,257,-22.8614871,-43.2282832,-98,2,724,5,53821442,44521,6,-11,6,
60,1,2024.01.26_12.24.23,156,-22.8614871,-43.2282832,-98,2,724,5,53821442,44521,6,-11,6,
61,1,2024.01.26_12.24.24,163,-22.8614871,-43.2282832,-98,2,724,5,53821442,44521,6,-11,7,
62,1,2024.01.26_12.24.25,131,-22.8613835,-43.2283144,-98,2,724,5,53821442,44521,6,-11,7,
